player_id,player_name,elo,current_rank,elo_prev_28d,rank_prev_28d,nationality,current_team,current_league,games_played,last_updated
coach_4,Pep Guardiola,2514.4,1,2514.4,1,Spain,Manchester City,Premier League,578,2026-05-24 15:00:00+00:00
coach_12590,Vincent Kompany,2496.6,2,2496.6,2,Belgium,Bayern München,Bundesliga,287,2026-05-23 18:00:00+00:00
coach_7248,Mikel Arteta,2477.6,3,2477.6,3,Spain,,Premier League,342,2026-05-30 16:00:00+00:00
coach_6472,Hansi Flick,2459.7,4,2459.7,4,Germany,Barcelona,La Liga,209,2026-05-23 19:00:00+00:00
coach_2392,Simone Inzaghi,2455.1,5,2455.1,5,Italy,Al-Hilal Saudi FC,Saudi Pro League,502,2026-05-21 18:00:00+00:00
coach_193,Luis Enrique,2398.6,6,2398.6,6,Spain,Paris Saint Germain,Ligue 1,255,2026-05-30 16:00:00+00:00
coach_12629,Enzo Maresca,2398.2,7,2398.2,7,Italy,,Premier League,165,2026-01-10 20:00:00+00:00
coach_2407,Carlo Ancelotti,2364.2,8,2337.7,10,Italy,Brazil,FIFA World Cup,419,2026-06-29 17:00:00+00:00
coach_6801,Xabier Alonso Olano,2347.1,9,2347.1,8,Spain,,La Liga,213,2026-01-11 19:00:00+00:00
coach_18,Unai Emery Etxegoien,2344.9,10,2344.9,9,Spain,Aston Villa,Premier League,504,2026-05-24 15:00:00+00:00
coach_15642,Cristian Eugen Chivu,2331.5,11,2331.5,11,Romania,Inter,Serie A,70,2026-05-23 16:00:00+00:00
coach_13959,Matthias Jaissle,2319.9,12,2319.9,12,Germany,Al-Ahli Jeddah,Saudi Pro League,233,2026-05-20 18:00:00+00:00
coach_2803,Rui Manuel Gomes Borges,2318.2,13,2318.2,13,Portugal,Sporting CP,Primeira Liga,249,2026-05-24 16:15:00+00:00
coach_123,Jorge Jesus,2306.3,14,2306.3,14,Portugal,Al-Nassr,Saudi Pro League,401,2026-05-21 18:00:00+00:00
coach_2108,Andoni Iraola,2284.7,15,2284.7,15,Spain,Bournemouth,Premier League,313,2026-05-24 15:00:00+00:00
coach_17873,Francesco Farioli,2277.4,16,2277.4,17,Italy,FC Porto,Primeira Liga,160,2026-05-16 14:30:00+00:00
coach_2006,Arne Slot,2257.8,17,2257.8,18,Netherlands,Liverpool,Premier League,312,2026-05-24 15:00:00+00:00
coach_1532,Peter Bosz,2255.1,18,2255.1,19,Netherlands,PSV Eindhoven,Eredivisie,380,2026-05-17 12:30:00+00:00
coach_180,Didier Claude Deschamps,2232.9,19,2175.0,34,France,France,WC Qualification Europe,97,2026-06-30 21:00:00+00:00
coach_1545,Julian Nagelsmann,2230.3,20,2220.5,22,Germany,Germany,WC Qualification Europe,320,2026-06-29 20:30:00+00:00
coach_3081,Domenico Tedesco,2227.6,21,2227.6,21,Italy,Fenerbahçe,Turkey Super Lig,226,2026-05-02 17:00:00+00:00
coach_1263,Luís Manuel Ribeiro de Castro,2219.9,22,2219.9,23,Portugal,,UAE Pro League,297,2026-01-17 13:05:00+00:00
coach_40,Thomas Tuchel,2218.2,23,2209.5,26,Germany,England,WC Qualification Europe,329,2026-07-01 16:00:00+00:00
coach_1528,Niko Kovač,2218.0,24,2218.0,24,Croatia,Borussia Dortmund,Bundesliga,345,2026-05-16 13:30:00+00:00
coach_19253,Fabian Hürzeler,2213.3,25,2213.3,25,Germany,Brighton,Premier League,139,2026-05-24 15:00:00+00:00
coach_5662,David William Moyes,2208.4,26,2208.5,27,Scotland,,Premier League,335,2025-12-06 15:00:00+00:00
coach_2462,José Mário dos Santos Mourinho Félix,2201.0,27,2201.0,28,Portugal,Benfica,Primeira Liga,465,2026-05-16 19:30:00+00:00
coach_6279,Régis Le Bris,2191.3,28,2191.3,29,France,Sunderland,Premier League,164,2026-05-24 15:00:00+00:00
coach_13350,Liam James Rosenior,2190.4,29,2190.4,30,England,,Premier League,180,2026-04-21 19:00:00+00:00
coach_2425,Antonio Conte,2189.3,30,2189.3,31,Italy,Napoli,Serie A,363,2026-05-24 16:00:00+00:00
coach_5832,Luis de la Fuente Castillo,2186.1,31,2147.5,48,Spain,Spain,WC Qualification Europe,58,2026-06-27 00:00:00+00:00
coach_995,José Miguel González Martín del Campo,2175.8,32,2175.8,32,Spain,Al-Qadsiah,Saudi Pro League,147,2025-11-28 17:30:00+00:00
coach_25679,Alvaro Arbeloa,2175.4,33,2175.4,33,,Real Madrid,La Liga,24,2026-05-23 19:00:00+00:00
coach_5,Edward John Frank Howe,2173.7,34,2173.7,35,England,Newcastle,Premier League,392,2026-05-24 15:00:00+00:00
coach_2393,Gian Piero Gasperini,2171.9,35,2171.9,36,Italy,AS Roma,Serie A,481,2026-05-24 18:45:00+00:00
coach_2213,Bruno Miguel Silva do Nascimento,2164.2,36,2164.2,37,Portugal,,Primeira Liga,207,2025-06-28 20:00:00+00:00
coach_326,Lionel Sebastián Scaloni,2159.5,37,2113.3,58,Argentina,Argentina,FIFA World Cup,58,2026-06-28 02:00:00+00:00
coach_2869,Kasper Hjulmand,2158.9,38,2158.9,38,Denmark,Bayer Leverkusen,Bundesliga,208,2026-05-16 13:30:00+00:00
coach_21528,Francesc Fàbregas i Soler,2157.4,39,2157.4,40,Spain,Como,Serie A,88,2026-05-24 18:45:00+00:00
coach_1675,Ståle Solbakken,2157.4,39,2101.7,65,Norway,Norway,WC Qualification Europe,253,2026-06-30 17:00:00+00:00
coach_1348,Ole Werner,2156.7,40,2156.7,41,Germany,RB Leipzig,Bundesliga,234,2026-05-16 13:30:00+00:00
coach_48,Roberto Martínez Montoliú,2154.8,41,2157.8,39,Spain,Portugal,WC Qualification Europe,93,2026-06-27 23:30:00+00:00
